Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
Nvidia,RTX 3090 Ti,1,267,7391,24,384,1560,1313,336,112,No,PCIe 4.0 x16,GDDR6X,GA102
Nvidia,RTX 3090,2,236,122797,24,384,1395,1219,328,112,No,PCIe 4.0 x16,GDDR6X,GA102
Nvidia,RTX 3080 Ti,3,232,117367,12,384,1365,1188,320,112,No,PCIe 4.0 x16,GDDR6X,GA102
Nvidia,RTX 3080,5,206,353788,10,320,1440,1188,272,96,No,PCIe 4.0 x16,GDDR6X,GA102
Nvidia,Quadro RTX 6000,9,180,824,24,384,1440,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
Nvidia,Quadro RTX 8000,10,179,341,48,384,1395,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
Nvidia,RTX 2080 Ti,11,172,370356,11,352,1350,1750,272,88,No,PCIe 3.0 x16,GDDR6,TU102
Nvidia,RTX 3070 Ti,12,168,120757,8,256,1575,1188,192,96,No,PCIe 4.0 x16,GDDR6X,GA104
Nvidia,RTX 3070,14,154,447840,8,256,1500,1750,184,96,No,PCIe 4.0 x16,GDDR6,GA104
Nvidia,Quadro RTX 5000,19,136,1703,16,256,1620,1750,192,64,No,PCIe 3.0 x16,GDDR6,TU104
Nvidia,GTX 1080 Ti,20,136,782243,11,352,1481,1376,224,88,No,PCIe 3.0 x16,GDDR5X,GP102
Nvidia,Quadro P6000,21,133,765,24,384,1506,1127,240,96,No,PCIe 3.0 x16,GDDR5X,GP102
Nvidia,RTX 3060 Ti,23,133,238653,8,256,1410,1750,152,80,No,PCIe 4.0 x16,GDDR6,GA104
Nvidia,RTX 2080,24,129,311089,8,256,1515,1750,184,64,No,PCIe 3.0 x16,GDDR6,TU104
AMD,RX 6800,26,125,3524,16,256,1700,2000,240,96,No,PCIe 4.0 x16,GDDR6,Navi 21
AMD,RX 6800M,35,108,750,12,192,2116,2000,160,64,No,PCIe 4.0 x16,GDDR6,Navi 22
Nvidia,Quadro GP100,36,108,127,16,4096,1304,715,224,96,No,PCIe 3.0 x16,HBM2,GP100
Nvidia,GTX 1080,37,106,1087024,8,256,1607,1251,160,64,No,PCIe 3.0 x16,GDDR5X,GP104
Nvidia,RTX 2070,38,106,460951,8,256,1410,1750,144,64,No,PCIe 3.0 x16,GDDR6,TU106
AMD,RX 6700,42,99.2,284,6,192,2200,2000,144,64,No,PCIe 4.0 x16,GDDR6,Navi 22
Nvidia,RTX 3060,44,98.3,232735,12,192,1320,1875,112,48,No,PCIe 4.0 x16,GDDR6,GA106
Nvidia,GTX 1070 Ti,46,96.3,361611,8,256,1607,2002,152,64,No,PCIe 3.0 x16,GDDR5,GP104
Nvidia,Quadro RTX 4000,48,94.7,8852,8,256,1005,1625,144,64,No,PCIe 3.0 x16,GDDR6,TU104
Nvidia,Quadro P5000,53,92.2,7677,16,256,1607,1127,160,64,No,PCIe 3.0 x16,GDDR5X,GP104
Nvidia,RTX 2060,57,88.6,653453,6,192,1365,1750,120,48,No,PCIe 3.0 x16,GDDR6,TU106
AMD,RX 5700,59,85,27019,8,256,1465,1750,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10
Nvidia,GTX 980 Ti,63,79.9,218447,6,384,1000,1753,176,96,No,PCIe 3.0 x16,GDDR5,GM200
Nvidia,GTX 1070,64,79.8,1286823,8,256,1506,2002,120,64,No,PCIe 3.0 x16,GDDR5,GP104
AMD,RX 6700M,65,79.5,62,10,160,1489,2000,144,64,No,PCIe 4.0 x16,GDDR6,Navi 22
Nvidia,GTX 1660 Ti,69,76.2,320515,6,192,1500,1500,96,48,No,PCIe 3.0 x16,GDDR6,TU116
AMD,RX 6600,70,76.2,18320,8,128,1626,1750,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23
Nvidia,Quadro M6000,72,73.3,596,12,384,988,1653,192,96,No,PCIe 3.0 x16,GDDR5,GM200
AMD,RX 6600M,76,70.9,341,8,128,2068,1750,112,64,No,PCIe 4.0 x8,GDDR6,Navi 23
Nvidia,GTX 1660,79,68.7,220505,6,192,1530,2001,88,48,No,PCIe 3.0 x16,GDDR5,TU116
Nvidia,Quadro P4000,80,67,11776,8,256,1202,1901,112,64,No,PCIe 3.0 x16,GDDR5,GP104
Nvidia,GTX 980,85,60.6,170996,4,256,1127,1753,128,64,No,PCIe 3.0 x16,GDDR5,GM204
AMD,RX 590,87,60,119752,8,256,1469,2000,144,32,No,PCIe 3.0 x16,GDDR5,Polaris 30
Nvidia,GTX 780 Ti,93,55.4,32587,3,384,875,1753,240,48,No,PCIe 3.0 x16,GDDR5,GK110B
AMD,RX 580,96,54.7,853084,8,256,1257,2000,144,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
Nvidia,GTX 970,103,50.2,809548,4,256,1050,1753,104,56,No,PCIe 3.0 x16,GDDR5,GM204
AMD,RX 480,107,48.1,233732,8,256,1120,2000,144,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Nvidia,GTX 780,108,47.6,61284,3,384,863,1502,192,48,No,PCIe 3.0 x16,GDDR5,GK110
AMD,RX 570,113,46.4,415950,4,256,1168,1750,128,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
Nvidia,Quadro K6000,114,45.5,1124,12,384,797,1502,240,48,No,PCIe 3.0 x16,GDDR5,GK110B
Nvidia,GTX 1650,116,42.9,232326,4,128,1485,2001,56,32,No,PCIe 3.0 x16,GDDR5,TU117
AMD,Radeon Pro 5500M,117,42.6,1978,8,128,1000,1500,96,32,No,PCIe 4.0 x8,GDDR6,Navi 14
Nvidia,GTX 980M,120,40.9,11961,8,256,1038,1253,96,64,No,MXM-B (3.0),GDDR5,GM204
Nvidia,GTX 980M,120,40.9,11961,8,256,540,1253,96,64,No,MXM-B (3.0),GDDR5,GM204
AMD,RX 470,121,40.7,74730,4,256,926,1650,128,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Nvidia,Quadro P2000,122,40.5,12915,5,160,1076,1752,64,40,No,PCIe 3.0 x16,GDDR5,GP106
AMD,FirePro W9000,128,36.6,75,6,384,975,1375,128,32,No,PCIe 3.0 x16,GDDR5,Tahiti
Nvidia,GTX 770,129,36.4,120275,2,256,1046,1753,128,32,No,PCIe 3.0 x16,GDDR5,GK104
AMD,Radeon Pro 5300M,133,35.9,957,4,128,1000,1500,80,32,No,PCIe 4.0 x8,GDDR6,Navi 14
AMD,RX 6400,134,34.7,252,4,64,1923,2000,48,32,No,PCIe 4.0 x4,GDDR6,Navi 24
