Brand,Model,Rank,Benchmark,Samples
Nvidia,RTX 3090 Ti,1,267,7391
Nvidia,RTX 3090,2,236,122797
Asus,Asus RTX 3080 24GB ROG Strix,2,236,122797
Asus,Asus RTX 3080 24GB Tuf OC,2,236,122797
MSI,MSI RTX 3090 24GB Gaming X Trio OC,2,236,122797
Zotac,Zotac RTX 3090 24GB Trinity OC,2,236,122797
EVGA,EVGA RTX 3090 24GB XC3 Ultra Gaming,2,236,122797
MSI,MSI RTX 3090 24GB Ventus 3X OC,2,236,122797
Nvidia,RTX 3080 Ti,3,232,117367
EVGA,EVGA RTX 3080 Ti 12GB FTW3 Ultra Gaming,3,232,117367
Asus,Asus RTX 3080 Ti 12GB Tuf OC,3,232,117367
Gigabyte,Gigabyte RTX 3080 Ti 12GB Gaming OC,3,232,117367
MSI,MSI RTX 3080 Ti 12GB Gaming X Trio OC,3,232,117367
MSI,MSI RTX 3080 Ti 12GB Ventus 3X OC,3,232,117367
EVGA,EVGA RTX 3080 Ti 12GB XC3 Ultra Gaming,3,232,117367
Zotac,Zotac RTX 3080 Ti 12GB Trinity OC,3,232,117367
Asus,Asus RTX 3080 Ti 12GB ROG Strix OC,3,232,117367
Gigabyte,Gigabyte RTX 3080 Ti 12GB Vision OC,3,232,117367
MSI,MSI RTX 3080 Ti 12GB Suprim X,3,232,117367
Gigabyte,Gigabyte RTX 3080 Ti 12GB Aorus Master,3,232,117367
Gigabyte,Gigabyte RTX 3080 Ti 12GB Eagle,3,232,117367
Nvidia,Quadro RTX A6000,4,207,1
Nvidia,RTX 3080,5,206,353788
MSI,MSI RTX 3080 10GB Ventus 3X OC,5,206,353788
Gigabyte,Gigabyte RTX 3080 10GB Gaming OC,5,206,353788
Gigabyte,Gigabyte RTX 3080 10GB Vision OC,5,206,353788
Asus,Asus RTX 3080 10GB Tuf OC,5,206,353788
Zotac,Zotac RTX 3080 10GB Trinity OC,5,206,353788
EVGA,EVGA RTX 3080 10GB FTW3 Ultra Gaming,5,206,353788
Gigabyte,Gigabyte RTX 3080 10GB Aorus Master,5,206,353788
AMD,RX 6950-XT,6,196,328
Nvidia,Titan RTX,7,189,2366
Nvidia,NVidia Titan RTX 24GB,7,189,2366
AMD,RX 6900-XT,8,184,10121
Nvidia,Quadro RTX 6000,9,180,824
