,Brand,Model,Rank,Benchmark,Samples,Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
0,Nvidia,RTX 3090 Ti,1,267.0,7391,Nvidia,RTX 3090 Ti,1.0,267.0,7391.0,24.0,384.0,1560.0,1313.0,336.0,112.0,No,PCIe 4.0 x16,GDDR6X,GA102
1,Nvidia,RTX 3090,2,236.0,122797,Nvidia,RTX 3090,2.0,236.0,122797.0,24.0,384.0,1395.0,1219.0,328.0,112.0,No,PCIe 4.0 x16,GDDR6X,GA102
2,Asus,Asus RTX 3080 24GB ROG Strix,2,236.0,122797,Nvidia,RTX 3080 Ti,3.0,232.0,117367.0,12.0,384.0,1365.0,1188.0,320.0,112.0,No,PCIe 4.0 x16,GDDR6X,GA102
3,Asus,Asus RTX 3080 24GB Tuf OC,2,236.0,122797,Nvidia,RTX 3080,5.0,206.0,353788.0,10.0,320.0,1440.0,1188.0,272.0,96.0,No,PCIe 4.0 x16,GDDR6X,GA102
4,MSI,MSI RTX 3090 24GB Gaming X Trio OC,2,236.0,122797,Nvidia,Quadro RTX 6000,9.0,180.0,824.0,24.0,384.0,1440.0,1750.0,288.0,96.0,No,PCIe 3.0 x16,GDDR6,TU102
5,Zotac,Zotac RTX 3090 24GB Trinity OC,2,236.0,122797,Nvidia,Quadro RTX 8000,10.0,179.0,341.0,48.0,384.0,1395.0,1750.0,288.0,96.0,No,PCIe 3.0 x16,GDDR6,TU102
6,EVGA,EVGA RTX 3090 24GB XC3 Ultra Gaming,2,236.0,122797,Nvidia,RTX 2080 Ti,11.0,172.0,370356.0,11.0,352.0,1350.0,1750.0,272.0,88.0,No,PCIe 3.0 x16,GDDR6,TU102
7,MSI,MSI RTX 3090 24GB Ventus 3X OC,2,236.0,122797,Nvidia,RTX 3070 Ti,12.0,168.0,120757.0,8.0,256.0,1575.0,1188.0,192.0,96.0,No,PCIe 4.0 x16,GDDR6X,GA104
8,Nvidia,RTX 3080 Ti,3,232.0,117367,Nvidia,RTX 3070,14.0,154.0,447840.0,8.0,256.0,1500.0,1750.0,184.0,96.0,No,PCIe 4.0 x16,GDDR6,GA104
9,EVGA,EVGA RTX 3080 Ti 12GB FTW3 Ultra Gaming,3,232.0,117367,Nvidia,Quadro RTX 5000,19.0,136.0,1703.0,16.0,256.0,1620.0,1750.0,192.0,64.0,No,PCIe 3.0 x16,GDDR6,TU104
10,Asus,Asus RTX 3080 Ti 12GB Tuf OC,3,232.0,117367,Nvidia,GTX 1080 Ti,20.0,136.0,782243.0,11.0,352.0,1481.0,1376.0,224.0,88.0,No,PCIe 3.0 x16,GDDR5X,GP102
11,Gigabyte,Gigabyte RTX 3080 Ti 12GB Gaming OC,3,232.0,117367,Nvidia,Quadro P6000,21.0,133.0,765.0,24.0,384.0,1506.0,1127.0,240.0,96.0,No,PCIe 3.0 x16,GDDR5X,GP102
12,MSI,MSI RTX 3080 Ti 12GB Gaming X Trio OC,3,232.0,117367,Nvidia,RTX 3060 Ti,23.0,133.0,238653.0,8.0,256.0,1410.0,1750.0,152.0,80.0,No,PCIe 4.0 x16,GDDR6,GA104
13,MSI,MSI RTX 3080 Ti 12GB Ventus 3X OC,3,232.0,117367,Nvidia,RTX 2080,24.0,129.0,311089.0,8.0,256.0,1515.0,1750.0,184.0,64.0,No,PCIe 3.0 x16,GDDR6,TU104
14,EVGA,EVGA RTX 3080 Ti 12GB XC3 Ultra Gaming,3,232.0,117367,AMD,RX 6800,26.0,125.0,3524.0,16.0,256.0,1700.0,2000.0,240.0,96.0,No,PCIe 4.0 x16,GDDR6,Navi 21
15,Zotac,Zotac RTX 3080 Ti 12GB Trinity OC,3,232.0,117367,AMD,RX 6800M,35.0,108.0,750.0,12.0,192.0,2116.0,2000.0,160.0,64.0,No,PCIe 4.0 x16,GDDR6,Navi 22
16,Asus,Asus RTX 3080 Ti 12GB ROG Strix OC,3,232.0,117367,Nvidia,Quadro GP100,36.0,108.0,127.0,16.0,4096.0,1304.0,715.0,224.0,96.0,No,PCIe 3.0 x16,HBM2,GP100
17,Gigabyte,Gigabyte RTX 3080 Ti 12GB Vision OC,3,232.0,117367,Nvidia,GTX 1080,37.0,106.0,1087024.0,8.0,256.0,1607.0,1251.0,160.0,64.0,No,PCIe 3.0 x16,GDDR5X,GP104
18,MSI,MSI RTX 3080 Ti 12GB Suprim X,3,232.0,117367,Nvidia,RTX 2070,38.0,106.0,460951.0,8.0,256.0,1410.0,1750.0,144.0,64.0,No,PCIe 3.0 x16,GDDR6,TU106
