Model,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
RTX 4050,8,128,1925,2250,120,48,No,PCIe 4.0 x16,GDDR6,AD106
Arc A350M,4,64,300,1500,48,24,No,PCIe 4.0 x8,GDDR6,DG2-128
Arc A370M,4,64,300,1500,64,32,No,PCIe 4.0 x8,GDDR6,DG2-128
Arc A380,4,64,300,1500,64,32,No,PCIe 4.0 x8,GDDR6,DG2-128
Arc A550M,8,128,300,1500,128,64,No,PCIe 4.0 x16,GDDR6,DG2-512
Arc A730M,12,192,300,1500,192,96,No,PCIe 4.0 x16,GDDR6,DG2-512
Arc A770,16,256,300,1500,256,128,No,PCIe 4.0 x16,GDDR6,DG2-512
Arc A770M,16,256,300,1500,256,128,No,PCIe 4.0 x16,GDDR6,DG2-512
Arc A780,16,256,300,1093,256,128,No,PCIe 4.0 x16,GDDR6X,DG2-512
Arctic Sound-M,16,4096,900,1200,256,128,No,PCIe 4.0 x16,HBM2e,Arctic Sound
MX550,2,64,1065,1500,32,16,No,PCIe 4.0 x8,GDDR6,TU117
MX570,4,64,1087,1500,64,40,No,PCIe 4.0 x8,GDDR6,GA107S
RTX 3050 4 GB,4,128,1545,1750,72,32,No,PCIe 4.0 x8,GDDR6,GA107
RTX 3050 8 GB,8,128,1552,1750,80,32,No,PCIe 4.0 x8,GDDR6,GA106
RTX 3050 8 GB GA107,8,128,1552,1750,80,32,No,PCIe 4.0 x8,GDDR6,GA107
RTX 3050 OEM,8,128,1515,1750,80,32,No,PCIe 4.0 x8,GDDR6,GA106
RTX 3060 Ti GA103,8,256,1410,1750,152,80,No,PCIe 4.0 x16,GDDR6,GA103S
RTX 3070 Ti Mobile,8,256,915,1750,176,80,No,PCIe 4.0 x16,GDDR6,GA104
RTX 3080 12 GB,12,384,1260,1188,280,96,No,PCIe 4.0 x16,GDDR6X,GA102
RTX 3080 Ti 20 GB,20,320,1335,1188,320,112,No,PCIe 4.0 x16,GDDR6X,GA102
RTX 3080 Ti Max-Q,16,256,585,1500,232,96,No,PCIe 4.0 x16,GDDR6,GA103S
RTX 3080 Ti Mobile,16,256,810,2000,232,96,No,PCIe 4.0 x16,GDDR6,GA103S
RTX 3090 Ti,24,384,1560,1313,336,112,No,PCIe 4.0 x16,GDDR6X,GA102
RTX 4060,12,192,1925,2250,184,64,No,PCIe 4.0 x16,GDDR6,AD104
RTX 4070,12,192,1925,2250,240,80,No,PCIe 4.0 x16,GDDR6,AD104
RTX 4080,16,256,1925,2250,304,96,No,PCIe 4.0 x16,GDDR6X,AD103
RTX 4080 Ti,20,320,1895,1325,440,144,No,PCIe 4.0 x16,GDDR6X,AD102
RTX 4090,24,384,1815,1325,544,192,No,PCIe 4.0 x16,GDDR6X,AD102
H100 PCIe,80,5120,1065,1000,456,24,No,PCIe 5.0 x16,HBM2e,GH100
H100 SXM5,80,5120,1065,1500,528,24,No,PCIe 5.0 x16,HBM3,GH100
Iris Xe Graphics 80EU,,,300,,40,20,Yes,Ring Bus,System Shared,Alder Lake GT1
Iris Xe Graphics 96EU,,,300,,48,24,Yes,Ring Bus,System Shared,Alder Lake GT1
Radeon 660M,,,1500,,24,16,Yes,PCIe 4.0 x8,System Shared,Rembrandt
Radeon 680M,,,2000,,48,32,Yes,PCIe 4.0 x8,System Shared,Rembrandt
